Tactic_A,Tactic_B,a,b,c,d,n,n_series_1,n_series_2,confidence,logRR,phi,p_value,logRR_norm,phi_norm,Score_default,Score_minus_conf
Pruning,Sparsification,4,6,19,188,217,23,10,0.6361632711932032,1.4719890822247736,0.20992817149346873,0.013263771915169396,0.6267190569744597,0.20992817149346873,0.1665332745798251,0.2617775689367783
Network partitioning,Partial layer execution,2,0,7,208,217,9,2,0.24636168355623522,3.4247278790723494,0.4636669926826355,0.0015360983102918585,0.9369369369369369,0.4636669926826355,0.16180676463509466,0.6567854314819219
Out-of-distribution detection,Specific model type selection,2,2,1,212,217,3,4,0.206212993639731,4.66814498514948,0.5705912921279264,0.0007632860596101407,0.9813953488372094,0.5705912921279264,0.16001990566114552,0.7759933204825679
Neural architecture search,Memory scheduling,2,0,8,207,217,10,2,0.25780435421065095,3.2911964864478267,0.4388144705167364,0.001920122887864823,0.9282511210762332,0.4388144705167364,0.15957519839750176,0.6189779023945944
Meta-learning,Adapter module,2,0,8,207,217,10,2,0.25780435421065095,3.2911964864478267,0.4388144705167364,0.001920122887864823,0.9282511210762332,0.4388144705167364,0.15957519839750176,0.6189779023945944
Meta-learning,Tuner and meta-tuner blocks,2,0,8,207,217,10,2,0.25780435421065095,3.2911964864478267,0.4388144705167364,0.001920122887864823,0.9282511210762332,0.4388144705167364,0.15957519839750176,0.6189779023945944
Specific model type selection,Out-of-distribution detection,2,1,2,212,217,4,3,0.206212993639731,4.267363726353742,0.5705912921279264,0.0007632860596101407,0.9723502304147466,0.5705912921279264,0.15908729518728454,0.7714707612713365
Internal computation balancing,Smaller computation datatype,2,5,1,209,217,3,7,0.263248813069786,4.0943445622221,0.42513207281433163,0.0026464949570726014,0.9672131147540983,0.42513207281433163,0.15744611105021397,0.5980885885645979
External computational offloading,Partial layer execution,2,0,9,206,217,11,2,0.26852657159596116,3.1734134507914433,0.4173813462059326,0.002346816862945895,0.9196428571428572,0.4173813462059326,0.15734461940129407,0.5859554920994666
Edge compute hardware,Sensor or input data fusion,2,3,2,210,217,4,5,0.25780435421065095,3.7471483622379123,0.4356398613062961,0.002512699826046855,0.9539170506912443,0.4356398613062961,0.1552262611545869,0.6021087643374406
Tenary weights,Mixed-precision compression,2,3,2,210,217,4,5,0.25780435421065095,3.7471483622379123,0.4356398613062961,0.002512699826046855,0.9539170506912443,0.4356398613062961,0.1552262611545869,0.6021087643374406
Sensor or input data fusion,Edge compute hardware,2,2,3,210,217,5,4,0.25780435421065095,3.56953269648137,0.4356398613062961,0.002512699826046855,0.9452054794520548,0.4356398613062961,0.15425309868778497,0.5983339542890163
Mixed-precision compression,Tenary weights,2,2,3,210,217,5,4,0.25780435421065095,3.56953269648137,0.4356398613062961,0.002512699826046855,0.9452054794520548,0.4356398613062961,0.15425309868778497,0.5983339542890163
Smaller computation datatype,Internal computation balancing,2,1,5,209,217,7,3,0.263248813069786,3.3510729944795865,0.42513207281433163,0.0026464949570726014,0.9322799097065463,0.42513207281433163,0.15349587131773637,0.5830828619046626
Feature encoding,Network partitioning,2,7,1,207,217,3,9,0.29277764778107507,3.8334606829250437,0.37125642043225443,0.004508269924624014,0.9576470588235294,0.37125642043225443,0.1521269921321794,0.5195990653150291
Input resolution adjustment,Neural architecture search,2,8,1,206,217,3,10,0.30590634059779964,3.7232808808312687,0.3504521093727011,0.0056174757975208075,0.9528301886792453,0.3504521093727011,0.14953635470662435,0.4888305172570194
Width adjustment,Memory scheduling,2,0,13,202,217,15,2,0.30590634059779964,2.805688670666126,0.35393688396302714,0.004480286738351254,0.8859649122807017,0.35393688396302714,0.14847419903858855,0.4853583575562425
Sensor or input data fusion,TPU SoC or Accelerator Hardware ,2,3,3,209,217,5,5,0.28346868942621073,3.3416832541297476,0.3858490566037736,0.004148695972056577,0.9316628701594534,0.3858490566037736,0.14827443344018515,0.5230716441393158
TPU SoC or Accelerator Hardware ,Sensor or input data fusion,2,3,3,209,217,5,5,0.28346868942621073,3.3416832541297476,0.3858490566037736,0.004148695972056577,0.9316628701594534,0.3858490566037736,0.14827443344018515,0.5230716441393158
Feature encoding,External computational offloading,2,9,1,205,217,3,11,0.31816722087539906,3.623128076551156,0.33246574547124363,0.006843972897986401,0.9479905437352246,0.33246574547124363,0.1469822859404994,0.46196552094868604
Multitask Scheduling,External computational offloading,2,9,1,205,217,3,11,0.31816722087539906,3.623128076551156,0.33246574547124363,0.006843972897986401,0.9479905437352246,0.33246574547124363,0.1469822859404994,0.46196552094868604
Network partitioning,Feature encoding,2,1,7,207,217,9,3,0.29277764778107507,3.014600757858374,0.37125642043225443,0.004508269924624014,0.9064587973273942,0.37125642043225443,0.14626718637845873,0.49958453962247223
Early-exit inference,Additional side branches with uncertainty measures,2,0,2,213,217,4,2,0.17185068465818631,4.677490847567717,0.7038102281221141,0.0002560163850486431,0.9815668202764977,0.7038102281221141,0.14481659983724732,0.8426885241993058
Neural architecture search,Input resolution adjustment,2,1,8,206,217,10,3,0.30590634059779964,2.8810693652338513,0.3504521093727011,0.0056174757975208075,0.8938053097345132,0.3504521093727011,0.14276394227718522,0.46669167431507663
Ternary weights and activations 2-bit,Binary weights and activations,2,4,3,208,217,5,6,0.30590634059779964,3.154633556139847,0.348747882711207,0.006164752543495443,0.9181818181818182,0.348747882711207,0.14275738877156335,0.46667025107288734
Binary weights and activations,Ternary weights and activations 2-bit,2,3,4,208,217,6,5,0.30590634059779964,3.054001181677967,0.348747882711207,0.006164752543495443,0.9099099099099099,0.348747882711207,0.14182531177926996,0.4636233152347092
External computational offloading,Multitask Scheduling,2,1,9,205,217,11,3,0.31816722087539906,2.763286329577468,0.33246574547124363,0.006843972897986401,0.8813186813186813,0.33246574547124363,0.13932909010047032,0.4379115162056072
External computational offloading,Feature encoding,2,1,9,205,217,11,3,0.31816722087539906,2.763286329577468,0.33246574547124363,0.006843972897986401,0.8813186813186813,0.33246574547124363,0.13932909010047032,0.4379115162056072
Input resolution adjustment,Width adjustment,2,13,1,201,217,3,15,0.3605926808381029,3.29336467685894,0.27890787258527777,0.012899058097857796,0.928400954653938,0.27890787258527777,0.13709373172198047,0.38019000109303974
Feature encoding,Partial layer execution,2,0,1,214,217,3,2,0.15066306992548228,5.3706380281276624,0.814595538579035,0.00012800819252432156,0.9907407407407408,0.814595538579035,0.1359987530450827,0.9026681396598879
Input resolution adjustment,Memory scheduling,2,0,1,214,217,3,2,0.15066306992548228,5.3706380281276624,0.814595538579035,0.00012800819252432156,0.9907407407407408,0.814595538579035,0.1359987530450827,0.9026681396598879
Quantization,Tenary weights,3,1,37,176,217,40,4,0.5697006039574618,1.4626921806134197,0.19991485482341442,0.020478528621919605,0.6238881829733164,0.19991485482341442,0.13209051808462705,0.23185953668830925
Edge compute hardware,External computational offloading,2,9,2,204,217,4,11,0.3573895939171715,2.9299808959912106,0.280682190298605,0.013306007854878715,0.8986175115207373,0.280682190298605,0.13177608940360955,0.36871831649958425
Specific model type selection,Integer-only operations,2,9,2,204,217,4,11,0.3573895939171715,2.9299808959912106,0.280682190298605,0.013306007854878715,0.8986175115207373,0.280682190298605,0.13177608940360955,0.36871831649958425
Pruning,On-chip weight caching,2,0,21,194,217,23,2,0.36374466889678037,2.32611559040424,0.2801126452596851,0.010795357569551118,0.8220338983050848,0.2801126452596851,0.13141252256761082,0.3612768345613931
Width adjustment,Input resolution adjustment,2,1,13,201,217,15,3,0.3605926808381029,2.3955615494521503,0.27890787258527777,0.012899058097857796,0.8329764453961456,0.27890787258527777,0.12625797721018367,0.35014015513773095
Integer-only operations,Specific model type selection,2,2,9,204,217,11,4,0.3573895939171715,2.4709204078132605,0.280682190298605,0.013306007854878715,0.8441558441558441,0.280682190298605,0.12569049001214525,0.35169040215892583
External computational offloading,Edge compute hardware,2,2,9,204,217,11,4,0.3573895939171715,2.4709204078132605,0.280682190298605,0.013306007854878715,0.8441558441558441,0.280682190298605,0.12569049001214525,0.35169040215892583
Closed-loop learning,Hardware and Software codesign,2,6,4,205,217,6,8,0.36990218853360224,2.56974552972503,0.26530920318551876,0.016622185627794585,0.8577777777777778,0.26530920318551876,0.12319728010956388,0.33305366642450274
Training optimization algorithm selection or adaptation,Adversarial training,4,24,7,182,217,11,28,0.6896315850008591,1.349926716949016,0.1617141999397767,0.03885895759737196,0.5882352941176471,0.1617141999397767,0.12158324393049647,0.1763017335268149
Hardware and Software codesign,Closed-loop learning,2,4,6,205,217,8,6,0.36990218853360224,2.4614863755799017,0.26530920318551876,0.016622185627794585,0.8427947598253275,0.26530920318551876,0.12155371457023992,0.3286104228042378
Sensor or input data fusion,External computational offloading,2,9,3,203,217,5,11,0.3900713113329324,2.524515787883046,0.24454361310555542,0.021557996156637914,0.851685393258427,0.24454361310555542,0.11876025450503438,0.3044578031109561
External computational offloading,Sensor or input data fusion,2,3,9,203,217,11,5,0.3900713113329324,2.243070965461638,0.24454361310555542,0.021557996156637914,0.8081023454157783,0.24454361310555542,0.11403867368218625,0.2923533989015981
Tensor or matrix decomposition,Finetuning ,2,8,4,203,217,6,10,0.4033339960380281,2.3369865197113784,0.23103063757336173,0.026047580272357023,0.8237885462555067,0.23103063757336173,0.1123338253584825,0.27851315897480455
Adversarial training,Training optimization algorithm selection or adaptation,4,7,24,182,217,28,11,0.6896315850008591,1.1382214267631554,0.1617141999397767,0.03885895759737196,0.5147058823529411,0.1617141999397767,0.10966251529810987,0.1590160858104741
Finetuning ,Tensor or matrix decomposition,2,4,8,203,217,10,6,0.4033339960380281,2.173804303128121,0.23103063757336173,0.026047580272357023,0.7957446808510639,0.23103063757336173,0.10934727114424808,0.2711084912711854
Concurrent processing hardware,Network partitioning,2,7,5,203,217,7,9,0.41089465787466506,2.224022770490943,0.22364661023097637,0.028901679110964147,0.8047722342733188,0.22364661023097637,0.10839508680977539,0.2638026188280089
Network partitioning,Concurrent processing hardware,2,5,7,203,217,9,7,0.41089465787466506,2.1484344131667874,0.22364661023097637,0.028901679110964147,0.7910447761194029,0.22364661023097637,0.106948216182868,0.2602813498137285
Depth adjustment,Adversarial training,4,24,8,181,217,12,28,0.7053656506920505,1.2163953243244932,0.14744639577357763,0.05306179810490716,0.5428571428571428,0.14744639577357763,0.1034874303114445,0.14671458726393977
Quantization,Depthwise-separable convolution layers,2,0,38,177,217,40,2,0.44914562337133124,1.733051868401277,0.20288615205990382,0.0332821300563236,0.6996047430830039,0.20288615205990382,0.09983691373000285,0.22228183585674766
Concurrent processing hardware,External computational offloading,2,9,5,201,217,7,11,0.4428928155200824,2.0136901641170555,0.19560483968909614,0.042782026316578715,0.7644539614561028,0.19560483968909614,0.09699866318781548,0.21901159781495078
External computational offloading,Concurrent processing hardware,2,5,9,201,217,11,7,0.4428928155200824,1.8971199848858813,0.19560483968909614,0.042782026316578715,0.7391304347826086,0.19560483968909614,0.09444012382376832,0.213234716198475
Adversarial training,Depth adjustment,4,8,24,181,217,28,12,0.7053656506920505,1.0463438601223527,0.14744639577357763,0.05306179810490716,0.48014440433212985,0.14744639577357763,0.0940857978489765,0.1333858513760441
Task-level parallelism on CNN layer-level,External computational offloading,2,9,7,199,217,9,11,0.4848643207030773,1.6772179274958425,0.1626529453864081,0.06931006711706655,0.6850715746421268,0.1626529453864081,0.07941151350958649,0.16378089729191841
External computational offloading,Task-level parallelism on CNN layer-level,2,7,9,199,217,11,9,0.4848643207030773,1.6362361055888244,0.1626529453864081,0.06931006711706655,0.6740442655935613,0.1626529453864081,0.07837851837874485,0.16165041441921757
Transfer learning,Pruning,2,21,3,191,217,5,23,0.5107689239601585,1.726898835026014,0.1466806978338958,0.08830798193707566,0.6980306345733042,0.1466806978338958,0.07579178993609563,0.14838762967107924
