Tactic_A,Tactic_B,a,b,c,d,n,n_series_1,n_series_2,confidence,logRR,phi,p_value,logRR_norm,phi_norm,Score_default,Score_minus_conf
Training with gradient noise,Adaptive batching,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Training with gradient noise,Sensor duty cycle,0,2,2,213,217,2,2,0.12482668095705252,,-0.009302325581395349,1.0,,-0.009302325581395349,,
Training with gradient noise,Later local processing of encoded features,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Training with gradient noise,Concurrent processing hardware,0,7,2,208,217,2,7,0.22076594753891132,,-0.017609018126512475,1.0,,-0.017609018126512475,,
Training with gradient noise,Straggler mitigation,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Training with gradient noise,Prediction combination of multi-models,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Training with gradient noise,Competing models ,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Training with gradient noise,Multi-model of different models,0,6,2,209,217,2,6,0.206212993639731,,-0.016264104850251135,1.0,,-0.016264104850251135,,
Training with gradient noise,Task-level parallelism on CNN layer-level,0,9,2,206,217,2,9,0.24636168355623522,,-0.020062514106460188,1.0,,-0.020062514106460188,,
Training with gradient noise,Data-level parallelsim in CNN layer,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Training with gradient noise,Event-based processing,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Training with gradient noise,Partial layer execution,0,2,2,213,217,2,2,0.12482668095705252,,-0.009302325581395349,1.0,,-0.009302325581395349,,
Training with gradient noise,Matrix-multiplication optimization,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Training with gradient noise,Simultaneous memory loading,0,4,2,211,217,2,4,0.17185068465818631,,-0.013217093485861298,1.0,,-0.013217093485861298,,
Training with gradient noise,External computational offloading,0,11,2,204,217,2,11,0.26852657159596116,,-0.022287353438180866,1.0,,-0.022287353438180866,,
Training with gradient noise,Internal computation balancing,0,3,2,212,217,2,3,0.15066306992548228,,-0.011419563624939743,1.0,,-0.011419563624939743,,
Training with gradient noise,Quantitative sensor selection,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Training with gradient noise,Out-of-distribution detection,0,3,2,212,217,2,3,0.15066306992548228,,-0.011419563624939743,1.0,,-0.011419563624939743,,
Training with gradient noise,Failure prevention or mitigation,0,3,2,212,217,2,3,0.15066306992548228,,-0.011419563624939743,1.0,,-0.011419563624939743,,
Training with gradient noise,Independent model development,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Training with gradient noise,Coupled semantic descriptions,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Training with gradient noise,Test time adaption,0,2,2,213,217,2,2,0.12482668095705252,,-0.009302325581395349,1.0,,-0.009302325581395349,,
Training with gradient noise,Merging of fault maps,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Training with gradient noise,High-level synthesis,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Training with gradient noise,Post-hoc uncertainty calibration ,0,1,2,214,217,2,1,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Pruning,0,23,1,193,217,1,23,0.2736491391955218,,-0.023428051901170213,1.0,,-0.023428051901170213,,
Contrastive representation learning,Quantization,0,40,1,176,217,1,40,0.3440278999511197,,-0.03234569498553233,1.0,,-0.03234569498553233,,
Contrastive representation learning,Post-training quantization,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Huffman coding,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Ablation,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Mixed-precision compression,0,5,1,211,217,1,5,0.13849222534596417,,-0.010449372136989982,1.0,,-0.010449372136989982,,
Contrastive representation learning,Integer-only operations,0,11,1,205,217,1,11,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Contrastive representation learning,Parameter amount reduction,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Binary and ternary weights training,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Quantization-aware training,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Binary weights and activations,0,6,1,210,217,1,6,0.15066306992548228,,-0.011473806513691905,1.0,,-0.011473806513691905,,
Contrastive representation learning,Ternary weights and activations 2-bit,0,5,1,211,217,1,5,0.13849222534596417,,-0.010449372136989982,1.0,,-0.010449372136989982,,
Contrastive representation learning,Tenary weights,0,4,1,212,217,1,4,0.12482668095705252,,-0.009324237314407657,1.0,,-0.009324237314407657,,
Contrastive representation learning,ADMM-based compression,0,4,1,212,217,1,4,0.12482668095705252,,-0.009324237314407657,1.0,,-0.009324237314407657,,
Contrastive representation learning,Sparsification,0,10,1,206,217,1,10,0.19007895443513734,,-0.014955052834949042,1.0,,-0.014955052834949042,,
Contrastive representation learning,Weight sharing,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Weight grouping,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Node masking,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Diagonal scalar weight matrix,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Matrix reusing,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Smaller computation datatype,0,7,1,209,217,1,7,0.16170349855334454,,-0.012422599874998832,1.0,,-0.012422599874998832,,
Contrastive representation learning,Tensor or matrix decomposition,0,6,1,210,217,1,6,0.15066306992548228,,-0.011473806513691905,1.0,,-0.011473806513691905,,
Contrastive representation learning,Continous learning,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Imitation learning,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Closed-loop learning,0,6,1,210,217,1,6,0.15066306992548228,,-0.011473806513691905,1.0,,-0.011473806513691905,,
Contrastive representation learning,Meta-learning,1,9,0,207,217,1,10,0.19007895443513734,,0.30956959368344517,0.046082949308755755,,0.30956959368344517,,
Contrastive representation learning,Self-supervision learning,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Self-adjusted learning,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Destillation learning,0,11,1,205,217,1,11,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Contrastive representation learning,Transfer learning,0,5,1,211,217,1,5,0.13849222534596417,,-0.010449372136989982,1.0,,-0.010449372136989982,,
Contrastive representation learning,Federated learning,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,End-to-end learning,0,4,1,212,217,1,4,0.12482668095705252,,-0.009324237314407657,1.0,,-0.009324237314407657,,
Contrastive representation learning,Few-shot learning,1,3,0,213,217,1,4,0.12482668095705252,,0.49651563699220774,0.018433179723502304,,0.49651563699220774,,
Contrastive representation learning,Online training,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Test-time training,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Fault tolerant training,0,4,1,212,217,1,4,0.12482668095705252,,-0.009324237314407657,1.0,,-0.009324237314407657,,
Contrastive representation learning,Adversarial training,0,28,1,188,217,1,28,0.29725897566229753,,-0.026189140043946204,1.0,,-0.026189140043946204,,
Contrastive representation learning,Adversarial generation decoupling,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Incremental training with sensor data,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Inclusion of wrong labeled data in training,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Training with unlabed data,1,1,0,215,217,1,2,0.08997290406174518,,0.7054680610666829,0.009216589861751152,,0.7054680610666829,,
Contrastive representation learning,Standard training on fully labeled datasets,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,On-device local training,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Training with gradient noise,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Training optimization algorithm selection or adaptation,0,11,1,205,217,1,11,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Contrastive representation learning,Training loss function selection or adaptation,0,5,1,211,217,1,5,0.13849222534596417,,-0.010449372136989982,1.0,,-0.010449372136989982,,
Contrastive representation learning,Label smooting,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Training loss early stopping,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Weight initialization random,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Pretraining,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Suppress redundant channel activations,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Regularization training,0,8,1,208,217,1,8,0.17185068465818631,,-0.013312051063847861,1.0,,-0.013312051063847861,,
Contrastive representation learning,Training with uncertainty measures,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Finetuning ,0,10,1,206,217,1,10,0.19007895443513734,,-0.014955052834949042,1.0,,-0.014955052834949042,,
Contrastive representation learning,Fault-aware retraining,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Retraining for fine tuning,0,4,1,212,217,1,4,0.12482668095705252,,-0.009324237314407657,1.0,,-0.009324237314407657,,
Contrastive representation learning,Quantization-aware retraining,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Automatic retraining and deployment triggering,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Training with adversarial noise,0,4,1,212,217,1,4,0.12482668095705252,,-0.009324237314407657,1.0,,-0.009324237314407657,,
Contrastive representation learning,Heuristics-driven augmentation,0,5,1,211,217,1,5,0.13849222534596417,,-0.010449372136989982,1.0,,-0.010449372136989982,,
Contrastive representation learning,Data-driven augmentations,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Modular system design,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Sensor ring architecture,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Containerization,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Specific model type selection,0,4,1,212,217,1,4,0.12482668095705252,,-0.009324237314407657,1.0,,-0.009324237314407657,,
Contrastive representation learning,TPU SoC or Accelerator Hardware ,0,5,1,211,217,1,5,0.13849222534596417,,-0.010449372136989982,1.0,,-0.010449372136989982,,
Contrastive representation learning,Edge compute hardware,0,4,1,212,217,1,4,0.12482668095705252,,-0.009324237314407657,1.0,,-0.009324237314407657,,
Contrastive representation learning,Library Encapsulation,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Deployment pipeline creation,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Model pool for deployment,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Network combination,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Network partitioning,0,9,1,207,217,1,9,0.18126924692201818,,-0.014153462926807447,1.0,,-0.014153462926807447,,
Contrastive representation learning,Weight averaging,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Input resolution adjustment,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Sensor or input data fusion,0,5,1,211,217,1,5,0.13849222534596417,,-0.010449372136989982,1.0,,-0.010449372136989982,,
Contrastive representation learning,Sliding Window,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Frame rate reduction,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Input spatial partitioning,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Input contrast improvement,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Input modification,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Sequential input fusion,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Signal overwriting,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Denoising,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Robust feature extraction,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Post-processing,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Decision smoothing,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Width adjustment,0,15,1,201,217,1,15,0.22755841388363107,,-0.0185414233120827,1.0,,-0.0185414233120827,,
Contrastive representation learning,Depth adjustment,0,12,1,204,217,1,12,0.206212993639731,,-0.016462159944159827,1.0,,-0.016462159944159827,,
Contrastive representation learning,Last stage reduction,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,New or specific layer module,0,5,1,211,217,1,5,0.13849222534596417,,-0.010449372136989982,1.0,,-0.010449372136989982,,
Contrastive representation learning,Model fusion,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Kernel regularization,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Regularization,1,6,0,210,217,1,7,0.16170349855334454,,0.37267799624996495,0.03225806451612903,,0.37267799624996495,,
Contrastive representation learning,Early-exit inference,0,4,1,212,217,1,4,0.12482668095705252,,-0.009324237314407657,1.0,,-0.009324237314407657,,
Contrastive representation learning,Additional side branches with uncertainty measures,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Tuner and meta-tuner blocks,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Adapter module,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Bottleneck module,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Separation of convolutional kernels,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Depthwise-separable convolution layers,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Convolution unfolding,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Activation function selection,0,4,1,212,217,1,4,0.12482668095705252,,-0.009324237314407657,1.0,,-0.009324237314407657,,
Contrastive representation learning,Layer fusion,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Fault-map-based neuron re-mapping,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Multiscale feature processing architectures,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Architecture design through math. optimization,0,5,1,211,217,1,5,0.13849222534596417,,-0.010449372136989982,1.0,,-0.010449372136989982,,
Contrastive representation learning,Neural architecture search,0,10,1,206,217,1,10,0.19007895443513734,,-0.014955052834949042,1.0,,-0.014955052834949042,,
Contrastive representation learning,Hardware and Software codesign,0,8,1,208,217,1,8,0.17185068465818631,,-0.013312051063847861,1.0,,-0.013312051063847861,,
Contrastive representation learning,Architecture design optimization with reinforcement learning,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Model format conversion,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Normalization,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Policy conversion,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Feature encoding,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,On-chip weight caching,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Cache preloading,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Prediction/intermediate result caching,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Relevant content caching,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Light communication protocol usage,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Cloud compression and edge reconstruction,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Deadline-aware scheduling,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Memory scheduling,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Multitask Scheduling,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Single task assignment,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Adaptive model scheduling,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Adaptive batching,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Sensor duty cycle,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Later local processing of encoded features,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Concurrent processing hardware,0,7,1,209,217,1,7,0.16170349855334454,,-0.012422599874998832,1.0,,-0.012422599874998832,,
Contrastive representation learning,Straggler mitigation,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Prediction combination of multi-models,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Competing models ,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Multi-model of different models,0,6,1,210,217,1,6,0.15066306992548228,,-0.011473806513691905,1.0,,-0.011473806513691905,,
Contrastive representation learning,Task-level parallelism on CNN layer-level,0,9,1,207,217,1,9,0.18126924692201818,,-0.014153462926807447,1.0,,-0.014153462926807447,,
Contrastive representation learning,Data-level parallelsim in CNN layer,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Event-based processing,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Partial layer execution,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Matrix-multiplication optimization,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Simultaneous memory loading,0,4,1,212,217,1,4,0.12482668095705252,,-0.009324237314407657,1.0,,-0.009324237314407657,,
Contrastive representation learning,External computational offloading,0,11,1,205,217,1,11,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Contrastive representation learning,Internal computation balancing,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Quantitative sensor selection,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Out-of-distribution detection,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Failure prevention or mitigation,0,3,1,213,217,1,3,0.10905274771158924,,-0.008056137408713865,1.0,,-0.008056137408713865,,
Contrastive representation learning,Independent model development,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Coupled semantic descriptions,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Test time adaption,0,2,1,214,217,1,2,0.08997290406174518,,-0.006562493591317981,1.0,,-0.006562493591317981,,
Contrastive representation learning,Merging of fault maps,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,High-level synthesis,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Contrastive representation learning,Post-hoc uncertainty calibration ,0,1,1,215,217,1,1,0.06449301496838222,,-0.004629629629629629,1.0,,-0.004629629629629629,,
Training optimization algorithm selection or adaptation,Pruning,0,23,11,183,217,11,23,0.6536821375464908,,-0.07956568121913542,0.611357053198315,,-0.07956568121913542,,
Training optimization algorithm selection or adaptation,Post-training quantization,0,1,11,205,217,11,1,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Training optimization algorithm selection or adaptation,Huffman coding,0,1,11,205,217,11,1,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Training optimization algorithm selection or adaptation,Ablation,0,1,11,205,217,11,1,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Training optimization algorithm selection or adaptation,Mixed-precision compression,0,5,11,201,217,11,5,0.3900713113329324,,-0.035487859421650524,1.0,,-0.035487859421650524,,
Training optimization algorithm selection or adaptation,Binary and ternary weights training,0,1,11,205,217,11,1,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Training optimization algorithm selection or adaptation,Binary weights and activations,0,6,11,200,217,11,6,0.4181848889381188,,-0.038967014213966714,1.0,,-0.038967014213966714,,
Training optimization algorithm selection or adaptation,Tenary weights,0,4,11,202,217,11,4,0.3573895939171715,,-0.03166670864907339,1.0,,-0.03166670864907339,,
Training optimization algorithm selection or adaptation,ADMM-based compression,0,4,11,202,217,11,4,0.3573895939171715,,-0.03166670864907339,1.0,,-0.03166670864907339,,
Training optimization algorithm selection or adaptation,Weight sharing,0,1,11,205,217,11,1,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Training optimization algorithm selection or adaptation,Weight grouping,0,1,11,205,217,11,1,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Training optimization algorithm selection or adaptation,Node masking,0,1,11,205,217,11,1,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Training optimization algorithm selection or adaptation,Diagonal scalar weight matrix,0,1,11,205,217,11,1,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Training optimization algorithm selection or adaptation,Matrix reusing,0,1,11,205,217,11,1,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Training optimization algorithm selection or adaptation,Tensor or matrix decomposition,0,6,11,200,217,11,6,0.4181848889381188,,-0.038967014213966714,1.0,,-0.038967014213966714,,
Training optimization algorithm selection or adaptation,Continous learning,0,1,11,205,217,11,1,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Training optimization algorithm selection or adaptation,Imitation learning,0,1,11,205,217,11,1,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Training optimization algorithm selection or adaptation,Closed-loop learning,0,6,11,200,217,11,6,0.4181848889381188,,-0.038967014213966714,1.0,,-0.038967014213966714,,
Training optimization algorithm selection or adaptation,Self-supervision learning,0,3,11,203,217,11,3,0.31816722087539906,,-0.02736002394152379,1.0,,-0.02736002394152379,,
Training optimization algorithm selection or adaptation,Self-adjusted learning,0,1,11,205,217,11,1,0.19837015644199685,,-0.015723016016341327,1.0,,-0.015723016016341327,,
Training optimization algorithm selection or adaptation,Destillation learning,0,11,11,195,217,11,11,0.5196946989102006,,-0.05339805825242718,1.0,,-0.05339805825242718,,
Training optimization algorithm selection or adaptation,Transfer learning,0,5,11,201,217,11,5,0.3900713113329324,,-0.035487859421650524,1.0,,-0.035487859421650524,,
