QA,Tactic,a,b,c,d,n,n_series_1,n_series_2,confidence,logRR,phi,p_value,w_p,logRR_norm,phi_norm,Score_default,Score_minus_conf
Performance Efficiency,Smaller computation datatype,0,7,15,195,217,15,7,0.49496626555868906,,-0.04975185951049946,1.0,-0.0,,-0.04975185951049946,,
Performance Efficiency,Tensor or matrix decomposition,0,6,15,196,217,15,6,0.46871439086703215,,-0.045951991971399375,1.0,-0.0,,-0.045951991971399375,,
Performance Efficiency,Continous learning,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Meta-learning,0,10,15,192,217,15,10,0.5580226227593261,,-0.059894200497748164,1.0,-0.0,,-0.059894200497748164,,
Performance Efficiency,Self-supervision learning,0,3,15,199,217,15,3,0.3605926808381029,,-0.03226440685433805,1.0,-0.0,,-0.03226440685433805,,
Performance Efficiency,Self-adjusted learning,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Destillation learning,0,11,15,191,217,15,11,0.5752900605933942,,-0.0629698526715544,1.0,-0.0,,-0.0629698526715544,,
Performance Efficiency,Transfer learning,0,5,15,197,217,15,5,0.43861608620107184,,-0.04184918614168131,1.0,-0.0,,-0.04184918614168131,,
Performance Efficiency,Federated learning,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Few-shot learning,0,4,15,198,217,15,4,0.4033339960380281,,-0.037343080319489894,1.0,-0.0,,-0.037343080319489894,,
Performance Efficiency,Online training,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Test-time training,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Fault tolerant training,0,4,15,198,217,15,4,0.4033339960380281,,-0.037343080319489894,1.0,-0.0,,-0.037343080319489894,,
Performance Efficiency,Adversarial training,0,28,15,174,217,15,28,0.7449409270762635,,-0.1048861292545921,0.2272525884256854,0.21449705380931047,,-0.1048861292545921,,
Performance Efficiency,Adversarial generation decoupling,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Incremental training with sensor data,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Inclusion of wrong labeled data in training,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Training with unlabed data,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Standard training on fully labeled datasets,0,3,15,199,217,15,3,0.3605926808381029,,-0.03226440685433805,1.0,-0.0,,-0.03226440685433805,,
Performance Efficiency,On-device local training,0,3,15,199,217,15,3,0.3605926808381029,,-0.03226440685433805,1.0,-0.0,,-0.03226440685433805,,
Performance Efficiency,Training with gradient noise,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Contrastive representation learning,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Training optimization algorithm selection or adaptation,0,11,15,191,217,15,11,0.5752900605933942,,-0.0629698526715544,1.0,-0.0,,-0.0629698526715544,,
Performance Efficiency,Training loss function selection or adaptation,0,5,15,197,217,15,5,0.43861608620107184,,-0.04184918614168131,1.0,-0.0,,-0.04184918614168131,,
Performance Efficiency,Label smooting,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Training loss early stopping,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Weight initialization random,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Pretraining,0,3,15,199,217,15,3,0.3605926808381029,,-0.03226440685433805,1.0,-0.0,,-0.03226440685433805,,
Performance Efficiency,Suppress redundant channel activations,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Regularization training,0,8,15,194,217,15,8,0.5182339919776623,,-0.053314064768202635,1.0,-0.0,,-0.053314064768202635,,
Performance Efficiency,Training with uncertainty measures,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Finetuning ,0,10,15,192,217,15,10,0.5580226227593261,,-0.059894200497748164,1.0,-0.0,,-0.059894200497748164,,
Performance Efficiency,Fault-aware retraining,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Retraining for fine tuning,0,4,15,198,217,15,4,0.4033339960380281,,-0.037343080319489894,1.0,-0.0,,-0.037343080319489894,,
Performance Efficiency,Automatic retraining and deployment triggering,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Training with adversarial noise,0,4,15,198,217,15,4,0.4033339960380281,,-0.037343080319489894,1.0,-0.0,,-0.037343080319489894,,
Performance Efficiency,Heuristics-driven augmentation,0,5,15,197,217,15,5,0.43861608620107184,,-0.04184918614168131,1.0,-0.0,,-0.04184918614168131,,
Performance Efficiency,Data-driven augmentations,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Modular system design,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Sensor ring architecture,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Containerization,0,3,15,199,217,15,3,0.3605926808381029,,-0.03226440685433805,1.0,-0.0,,-0.03226440685433805,,
Performance Efficiency,TPU SoC or Accelerator Hardware ,0,5,15,197,217,15,5,0.43861608620107184,,-0.04184918614168131,1.0,-0.0,,-0.04184918614168131,,
Performance Efficiency,Edge compute hardware,0,4,15,198,217,15,4,0.4033339960380281,,-0.037343080319489894,1.0,-0.0,,-0.037343080319489894,,
Performance Efficiency,Library Encapsulation,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Deployment pipeline creation,0,3,15,199,217,15,3,0.3605926808381029,,-0.03226440685433805,1.0,-0.0,,-0.03226440685433805,,
Performance Efficiency,Model pool for deployment,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Network combination,0,3,15,199,217,15,3,0.3605926808381029,,-0.03226440685433805,1.0,-0.0,,-0.03226440685433805,,
Performance Efficiency,Weight averaging,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Input resolution adjustment,0,3,15,199,217,15,3,0.3605926808381029,,-0.03226440685433805,1.0,-0.0,,-0.03226440685433805,,
Performance Efficiency,Sensor or input data fusion,0,5,15,197,217,15,5,0.43861608620107184,,-0.04184918614168131,1.0,-0.0,,-0.04184918614168131,,
Performance Efficiency,Sliding Window,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Frame rate reduction,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Input spatial partitioning,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Input contrast improvement,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Input modification,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Sequential input fusion,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Signal overwriting,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Denoising,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Post-processing,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Decision smoothing,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Width adjustment,0,15,15,187,217,15,15,0.6321205588285577,,-0.07425742574257425,0.6064191400915588,0.07240903324969379,,-0.07425742574257425,,
Performance Efficiency,Depth adjustment,0,12,15,190,217,15,12,0.591158280202196,,-0.06593008524966987,1.0,-0.0,,-0.06593008524966987,,
Performance Efficiency,Last stage reduction,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Kernel regularization,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Regularization,0,7,15,195,217,15,7,0.49496626555868906,,-0.04975185951049946,1.0,-0.0,,-0.04975185951049946,,
Performance Efficiency,Early-exit inference,0,4,15,198,217,15,4,0.4033339960380281,,-0.037343080319489894,1.0,-0.0,,-0.037343080319489894,,
Performance Efficiency,Additional side branches with uncertainty measures,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Tuner and meta-tuner blocks,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Adapter module,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Bottleneck module,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Separation of convolutional kernels,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Depthwise-separable convolution layers,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Convolution unfolding,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Activation function selection,0,4,15,198,217,15,4,0.4033339960380281,,-0.037343080319489894,1.0,-0.0,,-0.037343080319489894,,
Performance Efficiency,Layer fusion,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Fault-map-based neuron re-mapping,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Multiscale feature processing architectures,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Architecture design through math. optimization,0,5,15,197,217,15,5,0.43861608620107184,,-0.04184918614168131,1.0,-0.0,,-0.04184918614168131,,
Performance Efficiency,Architecture design optimization with reinforcement learning,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Model format conversion,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Policy conversion,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Feature encoding,0,3,15,199,217,15,3,0.3605926808381029,,-0.03226440685433805,1.0,-0.0,,-0.03226440685433805,,
Performance Efficiency,On-chip weight caching,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Cache preloading,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Prediction/intermediate result caching,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Relevant content caching,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Light communication protocol usage,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Cloud compression and edge reconstruction,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Deadline-aware scheduling,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Memory scheduling,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Multitask Scheduling,0,3,15,199,217,15,3,0.3605926808381029,,-0.03226440685433805,1.0,-0.0,,-0.03226440685433805,,
Performance Efficiency,Adaptive model scheduling,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Adaptive batching,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Sensor duty cycle,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Later local processing of encoded features,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Concurrent processing hardware,0,7,15,195,217,15,7,0.49496626555868906,,-0.04975185951049946,1.0,-0.0,,-0.04975185951049946,,
Performance Efficiency,Straggler mitigation,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Prediction combination of multi-models,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Competing models ,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Task-level parallelism on CNN layer-level,0,9,15,193,217,15,9,0.5391103655178987,,-0.05668387505088606,1.0,-0.0,,-0.05668387505088606,,
Performance Efficiency,Data-level parallelsim in CNN layer,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Event-based processing,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Partial layer execution,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Matrix-multiplication optimization,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Simultaneous memory loading,0,4,15,198,217,15,4,0.4033339960380281,,-0.037343080319489894,1.0,-0.0,,-0.037343080319489894,,
Performance Efficiency,External computational offloading,0,11,15,191,217,15,11,0.5752900605933942,,-0.0629698526715544,1.0,-0.0,,-0.0629698526715544,,
Performance Efficiency,Internal computation balancing,0,3,15,199,217,15,3,0.3605926808381029,,-0.03226440685433805,1.0,-0.0,,-0.03226440685433805,,
Performance Efficiency,Quantitative sensor selection,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Out-of-distribution detection,0,3,15,199,217,15,3,0.3605926808381029,,-0.03226440685433805,1.0,-0.0,,-0.03226440685433805,,
Performance Efficiency,Failure prevention or mitigation,0,3,15,199,217,15,3,0.3605926808381029,,-0.03226440685433805,1.0,-0.0,,-0.03226440685433805,,
Performance Efficiency,Independent model development,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Coupled semantic descriptions,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Test time adaption,0,2,15,200,217,15,2,0.30590634059779964,,-0.02628244187844261,1.0,-0.0,,-0.02628244187844261,,
Performance Efficiency,Merging of fault maps,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,High-level synthesis,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Performance Efficiency,Post-hoc uncertainty calibration ,0,1,15,201,217,15,1,0.22755841388363107,,-0.0185414233120827,1.0,-0.0,,-0.0185414233120827,,
Time behaviour,Post-training quantization,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Tenary weights,0,4,85,128,217,85,4,0.7074947296862014,,-0.10996707949032661,0.15699930768183806,0.2680340875634197,,-0.10996707949032661,,
Time behaviour,Weight sharing,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Diagonal scalar weight matrix,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Matrix reusing,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Continous learning,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Self-supervision learning,0,3,85,129,217,85,3,0.6551277756808033,,-0.09501151385756108,0.2818740399385561,0.18331497332669458,,-0.09501151385756108,,
Time behaviour,Self-adjusted learning,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Federated learning,0,2,85,130,217,85,2,0.5807244707051901,,-0.07739595530200942,0.5212493599590373,0.09431815509570483,,-0.07739595530200942,,
Time behaviour,Few-shot learning,0,4,85,128,217,85,4,0.7074947296862014,,-0.10996707949032661,0.15699930768183806,0.2680340875634197,,-0.10996707949032661,,
Time behaviour,Online training,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Test-time training,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Fault tolerant training,0,4,85,128,217,85,4,0.7074947296862014,,-0.10996707949032661,0.15699930768183806,0.2680340875634197,,-0.10996707949032661,,
Time behaviour,Adversarial training,0,28,85,104,217,85,28,0.9613167882524599,,-0.3088663606347607,3.3778556673589504e-07,1.0,,-0.3088663606347607,,
Time behaviour,Adversarial generation decoupling,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Inclusion of wrong labeled data in training,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Training with unlabed data,0,2,85,130,217,85,2,0.5807244707051901,,-0.07739595530200942,0.5212493599590373,0.09431815509570483,,-0.07739595530200942,,
Time behaviour,Standard training on fully labeled datasets,0,3,85,129,217,85,3,0.6551277756808033,,-0.09501151385756108,0.2818740399385561,0.18331497332669458,,-0.09501151385756108,,
Time behaviour,Training with gradient noise,0,2,85,130,217,85,2,0.5807244707051901,,-0.07739595530200942,0.5212493599590373,0.09431815509570483,,-0.07739595530200942,,
Time behaviour,Contrastive representation learning,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Label smooting,0,2,85,130,217,85,2,0.5807244707051901,,-0.07739595530200942,0.5212493599590373,0.09431815509570483,,-0.07739595530200942,,
Time behaviour,Training loss early stopping,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Weight initialization random,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Pretraining,0,3,85,129,217,85,3,0.6551277756808033,,-0.09501151385756108,0.2818740399385561,0.18331497332669458,,-0.09501151385756108,,
Time behaviour,Suppress redundant channel activations,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Training with uncertainty measures,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Fault-aware retraining,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Automatic retraining and deployment triggering,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Training with adversarial noise,0,4,85,128,217,85,4,0.7074947296862014,,-0.10996707949032661,0.15699930768183806,0.2680340875634197,,-0.10996707949032661,,
Time behaviour,Heuristics-driven augmentation,0,5,85,127,217,85,5,0.7470006961583802,,-0.12323656055351909,0.15919630430683823,0.26602233949797766,,-0.12323656055351909,,
Time behaviour,Data-driven augmentations,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Library Encapsulation,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Weight averaging,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Frame rate reduction,0,2,85,130,217,85,2,0.5807244707051901,,-0.07739595530200942,0.5212493599590373,0.09431815509570483,,-0.07739595530200942,,
Time behaviour,Input spatial partitioning,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Input contrast improvement,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Input modification,0,2,85,130,217,85,2,0.5807244707051901,,-0.07739595530200942,0.5212493599590373,0.09431815509570483,,-0.07739595530200942,,
Time behaviour,Sequential input fusion,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Denoising,0,2,85,130,217,85,2,0.5807244707051901,,-0.07739595530200942,0.5212493599590373,0.09431815509570483,,-0.07739595530200942,,
Time behaviour,Post-processing,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Decision smoothing,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Last stage reduction,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Kernel regularization,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Regularization,0,7,85,125,217,85,7,0.8033195186411726,,-0.1465081788319221,0.044277736613626995,0.45127152915404717,,-0.1465081788319221,,
Time behaviour,Depthwise-separable convolution layers,0,2,85,130,217,85,2,0.5807244707051901,,-0.07739595530200942,0.5212493599590373,0.09431815509570483,,-0.07739595530200942,,
Time behaviour,Layer fusion,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Fault-map-based neuron re-mapping,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Multiscale feature processing architectures,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Light communication protocol usage,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Sensor duty cycle,0,2,85,130,217,85,2,0.5807244707051901,,-0.07739595530200942,0.5212493599590373,0.09431815509570483,,-0.07739595530200942,,
Time behaviour,Data-level parallelsim in CNN layer,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Quantitative sensor selection,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Failure prevention or mitigation,0,3,85,129,217,85,3,0.6551277756808033,,-0.09501151385756108,0.2818740399385561,0.18331497332669458,,-0.09501151385756108,,
Time behaviour,Independent model development,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Coupled semantic descriptions,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Time behaviour,Merging of fault maps,0,1,85,131,217,85,1,0.459162436295519,,-0.05460037452131225,1.0,-0.0,,-0.05460037452131225,,
Ressource utilization,Post-training quantization,0,1,118,98,217,118,1,0.5152807230730613,,-0.07428421371350238,0.456221198156682,0.11360817975032654,,-0.07428421371350238,,
Ressource utilization,Continous learning,0,1,118,98,217,118,1,0.5152807230730613,,-0.07428421371350238,0.456221198156682,0.11360817975032654,,-0.07428421371350238,,
Ressource utilization,Self-supervision learning,0,3,118,96,217,118,3,0.7147319025693362,,-0.12926386792243627,0.0933858464616154,0.3432396467862587,,-0.12926386792243627,,
Ressource utilization,Self-adjusted learning,0,1,118,98,217,118,1,0.5152807230730613,,-0.07428421371350238,0.456221198156682,0.11360817975032654,,-0.07428421371350238,,
Ressource utilization,Federated learning,0,2,118,97,217,118,2,0.6408994213574218,,-0.10529777010908621,0.20698924731182794,0.22801740490313857,,-0.10529777010908621,,
Ressource utilization,Online training,0,1,118,98,217,118,1,0.5152807230730613,,-0.07428421371350238,0.456221198156682,0.11360817975032654,,-0.07428421371350238,,
Ressource utilization,Test-time training,0,1,118,98,217,118,1,0.5152807230730613,,-0.07428421371350238,0.456221198156682,0.11360817975032654,,-0.07428421371350238,,
Ressource utilization,Adversarial generation decoupling,0,1,118,98,217,118,1,0.5152807230730613,,-0.07428421371350238,0.456221198156682,0.11360817975032654,,-0.07428421371350238,,
Ressource utilization,Inclusion of wrong labeled data in training,0,1,118,98,217,118,1,0.5152807230730613,,-0.07428421371350238,0.456221198156682,0.11360817975032654,,-0.07428421371350238,,
Ressource utilization,Training loss early stopping,0,1,118,98,217,118,1,0.5152807230730613,,-0.07428421371350238,0.456221198156682,0.11360817975032654,,-0.07428421371350238,,
Ressource utilization,Weight initialization random,0,1,118,98,217,118,1,0.5152807230730613,,-0.07428421371350238,0.456221198156682,0.11360817975032654,,-0.07428421371350238,,
Ressource utilization,Pretraining,0,3,118,96,217,118,3,0.7147319025693362,,-0.12926386792243627,0.0933858464616154,0.3432396467862587,,-0.12926386792243627,,
Ressource utilization,Suppress redundant channel activations,0,1,118,98,217,118,1,0.5152807230730613,,-0.07428421371350238,0.456221198156682,0.11360817975032654,,-0.07428421371350238,,
